Epoch:0  Iteration:0  Cross Validation Error:2.301877
Iteration:392  Error:0.219195
Iteration:393  Error:0.328866
Iteration:394  Error:0.096213
Iteration:395  Error:0.230773
Iteration:396  Error:0.179615
Iteration:397  Error:0.173616
Iteration:398  Error:0.099981
Iteration:399  Error:0.052323
Iteration:400  Error:0.098870
Iteration:401  Error:0.146701
Iteration:402  Error:0.187725
Iteration:403  Error:0.294900
Iteration:404  Error:0.252737
Iteration:405  Error:0.125880
Iteration:406  Error:0.106182
Iteration:407  Error:0.110848
Iteration:408  Error:0.085904
Iteration:409  Error:0.151562
Iteration:410  Error:0.279501
Iteration:411  Error:0.323787
Iteration:412  Error:0.167264
Iteration:413  Error:0.120462
Iteration:414  Error:0.091180
Iteration:415  Error:0.124355
Iteration:416  Error:0.474856
Iteration:417  Error:0.207206
Iteration:418  Error:0.182128
Iteration:419  Error:0.285284
Iteration:420  Error:0.126746
Iteration:421  Error:0.162380
Iteration:422  Error:0.260759
Iteration:423  Error:0.119384
Iteration:424  Error:0.197433
Iteration:425  Error:0.183941
Iteration:426  Error:0.120930
Iteration:427  Error:0.078395
Iteration:428  Error:0.451499
Iteration:429  Error:0.260431
Iteration:430  Error:0.165726
Iteration:431  Error:0.158770
Iteration:432  Error:0.215878
Iteration:433  Error:0.325144
Iteration:434  Error:0.149549
Iteration:435  Error:0.160289
Iteration:436  Error:0.100198
Iteration:437  Error:0.193399
Iteration:438  Error:0.242681
Iteration:439  Error:0.174492
Iteration:440  Error:0.410457
Iteration:441  Error:0.324221
Iteration:442  Error:0.123812
Iteration:443  Error:0.222164
Iteration:444  Error:0.057300
Iteration:445  Error:0.227759
Iteration:446  Error:0.166777
Iteration:447  Error:0.182574
Iteration:448  Error:0.186490
Iteration:449  Error:0.107254
Iteration:450  Error:0.243087
Iteration:451  Error:0.144170
Iteration:452  Error:0.135759
Iteration:453  Error:0.116350
Iteration:454  Error:0.104449
Iteration:455  Error:0.110220
Iteration:456  Error:0.089065
Iteration:457  Error:0.075337
Iteration:458  Error:0.244265
Iteration:459  Error:0.326411
Iteration:460  Error:0.365647
Iteration:461  Error:0.173599
Iteration:462  Error:0.088136
Iteration:463  Error:0.151868
Iteration:464  Error:0.115472
Iteration:465  Error:0.291877
Iteration:466  Error:0.226373
Iteration:467  Error:0.276648
Iteration:468  Error:0.172780
Iteration:469  Error:0.081379
Iteration:470  Error:0.161110
Iteration:471  Error:0.223726
Iteration:472  Error:0.162226
Iteration:473  Error:0.181414
Iteration:474  Error:0.109729
Iteration:475  Error:0.399308
Iteration:476  Error:0.267758
Iteration:477  Error:0.100450
Iteration:478  Error:0.170278
Iteration:479  Error:0.159761
Iteration:480  Error:0.126745
Iteration:481  Error:0.177333
Iteration:482  Error:0.104669
Iteration:483  Error:0.187120
Iteration:484  Error:0.166673
Iteration:485  Error:0.136127
Iteration:486  Error:0.171979
Iteration:487  Error:0.187415
Iteration:488  Error:0.146128
Iteration:489  Error:0.082824
Iteration:490  Error:0.261536
Iteration:491  Error:0.165786
Iteration:492  Error:0.128899
Iteration:493  Error:0.167403
Iteration:494  Error:0.193619
Iteration:495  Error:0.134212
Iteration:496  Error:0.215750
Iteration:497  Error:0.302224
Iteration:498  Error:0.273559
Iteration:499  Error:0.048946
Iteration:500  Error:0.063137
Iteration:501  Error:0.166923
Iteration:502  Error:0.047024
Iteration:503  Error:0.316547
Iteration:504  Error:0.140568
Iteration:505  Error:0.070082
Iteration:506  Error:0.167205
Iteration:507  Error:0.072270
Iteration:508  Error:0.315514
Iteration:509  Error:0.092025
